EVENT_ID,EPISODE_ID,EVENT_TYPE,STATE,STATE_FIPS,YEAR,MONTH_NAME,BEGIN_DATE_TIME,END_DATE_TIME,CZ_NAME,WFO,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,MAGNITUDE_TYPE,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,SOURCE,EVENT_NARRATIVE
700010,150002,Extreme Cold/Wind Chill,CALIFORNIA,6,2018,October,12-OCT-18 05:52:23,12-OCT-18 08:01:23,MIAMI-DADE,DMX,0,0,0,0,26.64K,0.00K,,,,28.0183,-86.3942,28.197,-86.5281,NWS Storm Survey,Severe extreme cold/wind chill affected the area; residents reported significant impacts.
700011,150002,Excessive Heat,VIRGINIA,51,2023,September,25-SEP-23 22:01:56,25-SEP-23 22:57:56,FRANKLIN,JAN,0,0,0,0,33.58K,0.00K,,,,33.9621,-72.722,33.9427,-72.8228,Trained Spotter,excessive heat produced damaging conditions; multiple reports received.
700012,150003,Excessive Heat,INDIANA,18,2022,March,27-MAR-22 12:34:29,27-MAR-22 12:40:29,LAKE,EAX,0,0,0,0,11.45K,0.00K,,,,46.7301,-75.0008,46.5584,-75.1056,Emergency Manager,excessive heat produced damaging conditions; multiple reports received.
700013,150003,Flood,TEXAS,48,2022,August,12-AUG-22 18:40:54,12-AUG-22 20:46:54,WILL,OUN,0,0,0,0,20.35K,0.00K,,,,27.2638,-86.438,27.2055,-86.4736,Public,"A flood was reported in Texas, causing damage to homes and infrastructure."
700014,150003,Lightning,TEXAS,48,2020,November,06-NOV-20 22:03:46,07-NOV-20 01:48:46,BROWARD,BMX,1,0,0,0,559.47K,28.04K,,,,31.6851,-109.761,31.8544,-109.7837,Trained Spotter,lightning produced damaging conditions; multiple reports received.
700015,150003,Tornado,CALIFORNIA,6,2024,November,25-NOV-24 14:25:03,25-NOV-24 15:30:03,COLLIN,FFC,0,0,0,0,10.69K,0.00K,,,EF3,46.6586,-114.6157,46.4595,-114.6595,NWS Storm Survey,tornado produced damaging conditions; multiple reports received.
700016,150004,Storm Surge/Tide,TENNESSEE,47,2021,March,02-MAR-21 02:48:39,02-MAR-21 03:41:39,MIAMI-DADE,ARX,0,0,0,0,28.96K,0.00K,,,,38.0127,-81.3654,37.8356,-81.3317,Law Enforcement,"A storm surge/tide was reported in Tennessee, causing damage to homes and infrastructure."
700017,150004,Drought,CALIFORNIA,6,2024,March,13-MAR-24 04:00:51,13-MAR-24 04:22:51,HILLSBOROUGH,BMX,0,0,0,0,11.76K,0.00K,,,,27.8773,-73.2536,27.7758,-73.2158,NWS Storm Survey,drought produced damaging conditions; multiple reports received.
700018,150004,Extreme Cold/Wind Chill,NEBRASKA,31,2020,December,29-DEC-20 00:05:37,29-DEC-20 01:16:37,KANE,ARX,0,0,0,0,11.93K,0.00K,,,,34.4989,-85.7137,34.4189,-85.7872,Public,"A extreme cold/wind chill was reported in Nebraska, causing damage to homes and infrastructure."
700019,150004,Tropical Storm,OHIO,39,2022,February,08-FEB-22 19:53:34,08-FEB-22 20:16:34,COLLIN,DMX,0,0,0,0,6.62K,0.00K,,,,33.3762,-120.0789,33.2739,-120.1649,Broadcast Media,tropical storm produced damaging conditions; multiple reports received.
700020,150005,Dust Devil,NEBRASKA,31,2018,September,17-SEP-18 08:56:10,17-SEP-18 12:30:10,LINCOLN,FFC,0,0,0,0,5.18K,0.00K,,,,46.075,-108.9254,46.2309,-108.8284,Broadcast Media,dust devil produced damaging conditions; multiple reports received.
700021,150005,Heavy Snow,TENNESSEE,47,2020,March,20-MAR-20 01:39:52,20-MAR-20 04:39:52,MONTGOMERY,OUN,0,0,0,0,24.43K,0.00K,,,,46.7281,-75.7721,46.565,-75.8027,Trained Spotter,Trained spotters confirmed heavy snow in Tennessee; emergency services responded.
700022,150005,Marine High Wind,FLORIDA,12,2023,April,12-APR-23 17:36:00,12-APR-23 18:22:00,TRAVIS,DDC,0,0,0,0,21.38K,0.00K,41,EG,,26.8059,-73.6629,26.9675,-73.6447,Law Enforcement,Storm survey confirmed marine high wind with widespread effects across the county.
700023,150005,Flood,ARKANSAS,5,2020,May,21-MAY-20 14:47:54,21-MAY-20 18:42:54,BROWARD,ARX,0,0,0,0,1.99K,0.00K,,,,33.5874,-85.1222,33.6542,-85.1807,NWS Storm Survey,flood produced damaging conditions; multiple reports received.
700024,150006,Rip Current,FLORIDA,12,2019,December,02-DEC-19 18:42:33,02-DEC-19 19:28:33,LAKE,DMX,0,0,0,0,44.07K,0.00K,,,,25.5949,-82.0158,25.5278,-81.8435,Emergency Manager,Trained spotters confirmed rip current in Florida; emergency services responded.
700025,150006,Winter Storm,WEST VIRGINIA,54,2023,February,11-FEB-23 23:31:27,12-FEB-23 01:13:27,MONROE,TBW,0,0,0,0,11.12K,0.00K,,,,44.5981,-97.7627,44.5202,-97.6446,Trained Spotter,Severe winter storm affected the area; residents reported significant impacts.
700026,150006,Lightning,KENTUCKY,21,2020,December,01-DEC-20 16:21:12,01-DEC-20 16:43:12,MADISON,ARX,0,0,0,0,32.07K,0.00K,,,,34.5923,-68.0745,34.6068,-67.8988,Broadcast Media,Severe lightning affected the area; residents reported significant impacts.
700027,150006,Extreme Cold/Wind Chill,IOWA,19,2018,February,12-FEB-18 02:23:05,12-FEB-18 05:00:05,MONTGOMERY,OUN,0,0,0,0,15.68K,0.00K,,,,39.549,-94.8489,39.5031,-94.8183,NWS Storm Survey,"A extreme cold/wind chill was reported in Iowa, causing damage to homes and infrastructure."
700028,150007,Drought,WEST VIRGINIA,54,2022,September,24-SEP-22 17:58:21,24-SEP-22 21:07:21,LAKE,DMX,0,0,0,0,9.85K,0.00K,,,,35.3511,-69.9142,35.5194,-69.8649,Public,Trained spotters confirmed drought in West Virginia; emergency services responded.
700029,150007,Drought,KANSAS,20,2023,June,08-JUN-23 14:29:52,08-JUN-23 15:57:52,HILLSBOROUGH,DDC,0,0,0,0,6.36K,0.00K,,,,35.0907,-70.3993,35.1616,-70.2382,Broadcast Media,Storm survey confirmed drought with widespread effects across the county.
700030,150007,Excessive Heat,WISCONSIN,55,2018,April,29-APR-18 00:19:11,29-APR-18 01:37:11,WILL,MEG,0,0,0,0,30.33K,0.00K,,,,32.734,-98.8182,32.8043,-98.8137,Public,Trained spotters confirmed excessive heat in Wisconsin; emergency services responded.
700031,150007,Drought,PENNSYLVANIA,42,2023,August,29-AUG-23 11:55:44,29-AUG-23 13:25:44,ORANGE,DDC,0,0,0,0,11.74K,0.00K,,,,32.4501,-78.0259,32.309,-78.2074,Public,Storm survey confirmed drought with widespread effects across the county.
700032,150008,Hurricane (Typhoon),OKLAHOMA,40,2022,March,17-MAR-22 12:16:03,17-MAR-22 15:24:03,MONROE,MEG,0,0,0,0,12.20K,0.00K,123,EG,,46.4238,-74.9549,46.578,-74.8435,Department of Highways,"A hurricane (typhoon) was reported in Oklahoma, causing damage to homes and infrastructure."
700033,150008,Excessive Heat,INDIANA,18,2024,February,17-FEB-24 03:08:38,17-FEB-24 05:09:38,WILL,ARX,0,0,0,0,26.56K,0.00K,,,,38.4142,-105.914,38.5163,-105.937,NWS Storm Survey,excessive heat produced damaging conditions; multiple reports received.
700034,150008,Tropical Storm,GEORGIA,13,2023,December,01-DEC-23 13:42:52,01-DEC-23 15:48:52,COLLIN,BMX,0,0,0,0,41.99K,0.00K,,,,31.6555,-79.6725,31.6493,-79.7768,Broadcast Media,Severe tropical storm affected the area; residents reported significant impacts.
700035,150008,Ice Storm,KENTUCKY,21,2020,December,12-DEC-20 19:36:48,12-DEC-20 21:59:48,MARION,DMX,1,0,0,0,413.88K,30.56K,,,,26.5415,-100.7668,26.5585,-100.8005,NWS Storm Survey,Storm survey confirmed ice storm with widespread effects across the county.
700036,150009,Marine High Wind,NORTH CAROLINA,37,2023,January,08-JAN-23 14:03:03,08-JAN-23 17:47:03,WILL,GID,0,0,0,0,23.85K,0.00K,85,MS,,43.0834,-75.3535,43.2648,-75.3859,Emergency Manager,Storm survey confirmed marine high wind with widespread effects across the county.
700037,150009,Blizzard,IOWA,19,2021,July,08-JUL-21 14:30:41,08-JUL-21 14:42:41,BROWARD,OUN,0,0,0,0,39.91K,0.00K,,,,42.3804,-76.0912,42.5482,-75.8989,NWS Storm Survey,blizzard produced damaging conditions; multiple reports received.
700038,150009,Extreme Cold/Wind Chill,PENNSYLVANIA,42,2018,February,02-FEB-18 14:26:49,02-FEB-18 17:15:49,BEXAR,FFC,0,0,0,0,9.09K,0.00K,,,,31.2438,-105.3409,31.2257,-105.4059,NWS Storm Survey,Trained spotters confirmed extreme cold/wind chill in Pennsylvania; emergency services responded.
700039,150009,Thunderstorm Wind,MISSOURI,29,2018,October,18-OCT-18 21:24:43,18-OCT-18 23:47:43,LINCOLN,TBW,0,0,0,0,11.21K,0.00K,48,EG,,43.1016,-69.8721,42.9813,-70.0639,Law Enforcement,Storm survey confirmed thunderstorm wind with widespread effects across the county.
700040,150010,Storm Surge/Tide,COLORADO,8,2022,March,26-MAR-22 15:34:36,26-MAR-22 17:38:36,DALLAS,BMX,0,0,0,0,8.39K,0.00K,,,,39.5739,-81.3682,39.4197,-81.2405,Trained Spotter,Trained spotters confirmed storm surge/tide in Colorado; emergency services responded.
700041,150010,Extreme Cold/Wind Chill,PENNSYLVANIA,42,2021,June,04-JUN-21 01:05:14,04-JUN-21 04:13:14,MADISON,OAX,0,0,0,0,41.53K,0.00K,,,,30.8284,-84.26,30.749,-84.1863,Trained Spotter,Trained spotters confirmed extreme cold/wind chill in Pennsylvania; emergency services responded.
700042,150010,Excessive Heat,MINNESOTA,27,2023,May,24-MAY-23 21:58:15,24-MAY-23 22:20:15,COLLIN,GID,0,0,0,0,42.48K,0.00K,,,,44.7359,-117.9843,44.9202,-117.9301,Law Enforcement,Storm survey confirmed excessive heat with widespread effects across the county.
700043,150010,Winter Storm,TEXAS,48,2022,September,10-SEP-22 14:42:09,10-SEP-22 15:56:09,MONROE,DMX,0,0,0,0,38.73K,0.00K,,,,36.157,-76.9331,36.194,-77.0042,Public,Trained spotters confirmed winter storm in Texas; emergency services responded.
700044,150011,Tropical Storm,INDIANA,18,2024,June,29-JUN-24 11:23:48,29-JUN-24 13:53:48,HARRIS,FFC,0,0,0,0,1.43K,0.00K,,,,45.4229,-113.6351,45.3077,-113.516,Broadcast Media,tropical storm produced damaging conditions; multiple reports received.
700045,150011,Tornado,NEBRASKA,31,2019,February,03-FEB-19 05:58:14,03-FEB-19 07:04:14,DALLAS,TBW,0,0,0,0,37.91K,0.00K,,,EF5,36.4262,-83.425,36.4055,-83.6181,NWS Storm Survey,Severe tornado affected the area; residents reported significant impacts.
700046,150011,High Wind,PENNSYLVANIA,42,2022,May,24-MAY-22 07:31:11,24-MAY-22 09:37:11,WILL,TBW,0,0,0,0,49.83K,0.00K,110,MS,,33.4435,-98.1365,33.3661,-98.2443,Newspaper,"A high wind was reported in Pennsylvania, causing damage to homes and infrastructure."
700047,150011,Rip Current,NEW MEXICO,35,2024,September,25-SEP-24 00:47:26,25-SEP-24 01:39:26,MARION,FFC,0,0,0,0,13.82K,0.00K,,,,39.1501,-80.6681,39.1888,-80.4759,Emergency Manager,Trained spotters confirmed rip current in New Mexico; emergency services responded.
700048,150012,Winter Storm,KANSAS,20,2018,October,02-OCT-18 23:12:38,03-OCT-18 01:33:38,DALLAS,EAX,1,0,0,0,101.80K,58.43K,,,,40.3089,-81.0908,40.1499,-81.2859,Department of Highways,Storm survey confirmed winter storm with widespread effects across the county.
700049,150012,Strong Wind,GEORGIA,13,2018,April,09-APR-18 01:16:08,09-APR-18 05:01:08,MONROE,BMX,0,0,0,0,20.04K,0.00K,49,EG,,28.6414,-77.7649,28.8211,-77.9308,NWS Storm Survey,strong wind produced damaging conditions; multiple reports received.
700050,150012,Funnel Cloud,WEST VIRGINIA,54,2022,March,29-MAR-22 15:33:23,29-MAR-22 18:56:23,HILLSBOROUGH,GID,0,0,0,0,22.14K,0.00K,,,,45.644,-67.5682,45.5662,-67.5198,Public,Severe funnel cloud affected the area; residents reported significant impacts.
700051,150012,Dust Devil,ILLINOIS,17,2020,September,13-SEP-20 11:38:11,13-SEP-20 12:03:11,DALLAS,GID,3,0,0,0,121.31K,0.54K,,,,41.5449,-97.215,41.358,-97.2998,Department of Highways,"A dust devil was reported in Illinois, causing damage to homes and infrastructure."
700052,150013,Storm Surge/Tide,INDIANA,18,2020,November,01-NOV-20 23:05:21,02-NOV-20 02:32:21,LINCOLN,BMX,0,0,0,0,46.68K,0.00K,,,,35.2033,-92.9599,35.2624,-92.7965,Trained Spotter,Severe storm surge/tide affected the area; residents reported significant impacts.
700053,150013,High Wind,OHIO,39,2023,November,17-NOV-23 02:28:35,17-NOV-23 04:58:35,WASHINGTON,ARX,0,0,0,0,23.43K,0.00K,78,ES,,47.6242,-95.4731,47.6217,-95.6409,NWS Storm Survey,Trained spotters confirmed high wind in Ohio; emergency services responded.
700054,150013,Funnel Cloud,IOWA,19,2018,February,05-FEB-18 11:13:41,05-FEB-18 12:16:41,WASHINGTON,OAX,0,0,0,0,28.76K,0.00K,,,,47.8189,-67.0244,47.8878,-67.1166,Law Enforcement,Storm survey confirmed funnel cloud with widespread effects across the county.
700055,150013,Drought,OKLAHOMA,40,2021,December,22-DEC-21 18:25:02,22-DEC-21 19:41:02,LAKE,BMX,0,0,0,0,31.74K,0.00K,,,,36.8014,-118.7992,36.7406,-118.8659,Law Enforcement,Trained spotters confirmed drought in Oklahoma; emergency services responded.
700056,150014,Hurricane (Typhoon),TENNESSEE,47,2021,April,22-APR-21 22:23:04,23-APR-21 01:17:04,MIAMI-DADE,DMX,0,0,0,0,27.50K,0.00K,98,EG,,32.5484,-105.5734,32.7365,-105.6117,Trained Spotter,hurricane (typhoon) produced damaging conditions; multiple reports received.
700057,150014,Tropical Storm,MINNESOTA,27,2018,March,14-MAR-18 20:23:45,14-MAR-18 22:40:45,COLLIN,ARX,0,0,0,0,31.27K,0.00K,,,,43.2398,-112.3972,43.2595,-112.2261,Department of Highways,"A tropical storm was reported in Minnesota, causing damage to homes and infrastructure."
700058,150014,Tornado,OKLAHOMA,40,2022,November,07-NOV-22 10:08:38,07-NOV-22 11:14:38,MADISON,GLD,0,0,0,0,0.68K,0.00K,,,EF3,27.237,-67.4413,27.4022,-67.4567,Law Enforcement,Storm survey confirmed tornado with widespread effects across the county.
700059,150014,Coastal Flood,KANSAS,20,2022,October,01-OCT-22 22:54:46,02-OCT-22 00:08:46,WILL,ARX,0,0,0,0,23.61K,0.00K,,,,35.9629,-115.7554,35.8391,-115.7156,Law Enforcement,"A coastal flood was reported in Kansas, causing damage to homes and infrastructure."
700060,150015,Ice Storm,VIRGINIA,51,2024,November,27-NOV-24 19:42:02,27-NOV-24 21:33:02,LAKE,EAX,0,0,0,0,13.36K,0.00K,,,,25.0616,-82.6151,25.1966,-82.5831,Law Enforcement,Storm survey confirmed ice storm with widespread effects across the county.
700061,150015,Excessive Heat,MISSOURI,29,2020,May,09-MAY-20 02:33:53,09-MAY-20 04:59:53,KANE,LZK,0,0,0,0,46.64K,0.00K,,,,45.8704,-68.0958,45.7659,-68.1426,Trained Spotter,Trained spotters confirmed excessive heat in Missouri; emergency services responded.
700062,150015,Rip Current,MISSOURI,29,2023,December,21-DEC-23 17:47:10,21-DEC-23 21:19:10,PALM BEACH,JAN,0,0,0,0,39.62K,0.00K,,,,40.6485,-115.33,40.8344,-115.4795,Public,Storm survey confirmed rip current with widespread effects across the county.
700063,150015,Flash Flood,NEBRASKA,31,2021,January,06-JAN-21 23:02:59,07-JAN-21 02:11:59,BEXAR,GLD,0,0,0,0,48.50K,0.00K,,,,26.7959,-79.4531,26.7019,-79.4038,Public,Trained spotters confirmed flash flood in Nebraska; emergency services responded.
700064,150016,Storm Surge/Tide,NEW MEXICO,35,2021,May,03-MAY-21 23:29:45,04-MAY-21 02:14:45,MONROE,GID,0,0,0,0,43.62K,0.00K,,,,25.8616,-120.1,25.9141,-119.9316,Public,Storm survey confirmed storm surge/tide with widespread effects across the county.
700065,150016,Flash Flood,VIRGINIA,51,2023,October,01-OCT-23 08:44:16,01-OCT-23 12:32:16,MIAMI-DADE,LZK,2,0,0,0,334.49K,5.79K,,,,44.1074,-107.278,44.0573,-107.4198,Law Enforcement,Severe flash flood affected the area; residents reported significant impacts.
700066,150016,Winter Storm,CALIFORNIA,6,2022,December,05-DEC-22 04:48:48,05-DEC-22 06:30:48,COLLIN,ARX,3,0,0,0,917.19K,28.62K,,,,40.3097,-97.8045,40.3764,-97.6449,Broadcast Media,winter storm produced damaging conditions; multiple reports received.
700067,150016,Winter Storm,CALIFORNIA,6,2021,May,15-MAY-21 04:54:18,15-MAY-21 07:29:18,MADISON,TBW,0,0,0,0,34.52K,0.00K,,,,35.9641,-106.7791,36.1638,-106.6378,NWS Storm Survey,winter storm produced damaging conditions; multiple reports received.
700068,150017,Heavy Rain,NORTH CAROLINA,37,2020,September,28-SEP-20 13:45:12,28-SEP-20 15:05:12,WILL,EAX,0,0,4,0,41.67M,1.98M,,,,45.7616,-79.6362,45.951,-79.472,Broadcast Media,Severe heavy rain affected the area; residents reported significant impacts.
700069,150017,Funnel Cloud,WEST VIRGINIA,54,2020,March,26-MAR-20 01:16:12,26-MAR-20 04:03:12,COOK,GLD,0,0,0,0,37.78K,0.00K,,,,43.4193,-85.1913,43.274,-85.3524,Trained Spotter,Trained spotters confirmed funnel cloud in West Virginia; emergency services responded.
700070,150017,Tropical Storm,ARKANSAS,5,2022,May,22-MAY-22 16:45:11,22-MAY-22 19:57:11,TRAVIS,ICT,0,0,0,0,16.34K,0.00K,,,,34.9721,-112.5547,35.0867,-112.4041,Broadcast Media,Severe tropical storm affected the area; residents reported significant impacts.
700071,150017,Ice Storm,WISCONSIN,55,2021,November,10-NOV-21 05:01:03,10-NOV-21 06:21:03,WILL,GLD,0,0,0,0,5.76K,0.00K,,,,48.1094,-115.9769,48.296,-115.8328,NWS Storm Survey,ice storm produced damaging conditions; multiple reports received.
700072,150018,Heavy Rain,CALIFORNIA,6,2024,June,02-JUN-24 05:42:05,02-JUN-24 05:50:05,MONROE,EAX,2,0,0,0,400.16K,149.80K,,,,39.0294,-77.1222,39.2055,-77.2789,Trained Spotter,heavy rain produced damaging conditions; multiple reports received.
700073,150018,Excessive Heat,KENTUCKY,21,2022,March,27-MAR-22 23:17:30,28-MAR-22 02:07:30,DALLAS,EAX,0,0,0,0,45.47K,0.00K,,,,32.2526,-100.7271,32.1085,-100.5486,Public,"A excessive heat was reported in Kentucky, causing damage to homes and infrastructure."
700074,150018,Blizzard,NEW MEXICO,35,2019,May,31-MAY-19 22:26:30,01-JUN-19 00:27:30,COOK,BMX,0,0,0,0,34.82K,0.00K,,,,37.9646,-90.5216,38.0552,-90.3674,Department of Highways,blizzard produced damaging conditions; multiple reports received.
700075,150018,Hurricane (Typhoon),IOWA,19,2018,September,26-SEP-18 01:52:55,26-SEP-18 03:31:55,WASHINGTON,LZK,0,0,0,0,11.81K,0.00K,86,EG,,48.5423,-103.0619,48.703,-103.004,Broadcast Media,Severe hurricane (typhoon) affected the area; residents reported significant impacts.
700076,150019,Flash Flood,WISCONSIN,55,2021,February,05-FEB-21 14:27:29,05-FEB-21 17:21:29,MARION,BMX,0,0,0,0,48.55K,0.00K,,,,26.2139,-104.99,26.4094,-104.8752,Emergency Manager,flash flood produced damaging conditions; multiple reports received.
700077,150019,Heavy Snow,WISCONSIN,55,2024,March,31-MAR-24 11:42:18,31-MAR-24 13:11:18,JACKSON,BMX,0,0,0,0,29.80K,0.00K,,,,31.6546,-67.9104,31.8496,-67.8943,Trained Spotter,Severe heavy snow affected the area; residents reported significant impacts.
700078,150019,Tornado,LOUISIANA,22,2024,November,02-NOV-24 04:42:52,02-NOV-24 05:47:52,PALM BEACH,BMX,3,0,0,0,302.10K,25.35K,,,EF4,27.7276,-120.3772,27.7069,-120.4324,Department of Highways,tornado produced damaging conditions; multiple reports received.
700079,150019,Blizzard,OHIO,39,2018,October,10-OCT-18 10:23:45,10-OCT-18 13:48:45,TARRANT,GLD,0,0,0,0,15.08K,0.00K,,,,40.4402,-122.2244,40.6396,-122.0855,Public,Storm survey confirmed blizzard with widespread effects across the county.
700080,150020,Coastal Flood,MISSISSIPPI,28,2018,December,16-DEC-18 05:46:25,16-DEC-18 06:11:25,COLLIN,ICT,4,0,0,0,169.88K,124.86K,,,,38.1606,-105.4644,38.3585,-105.4522,NWS Storm Survey,"A coastal flood was reported in Mississippi, causing damage to homes and infrastructure."
700081,150020,Coastal Flood,COLORADO,8,2024,September,11-SEP-24 06:22:01,11-SEP-24 09:13:01,BEXAR,LZK,0,0,0,0,43.27K,0.00K,,,,35.3217,-73.3788,35.2872,-73.2478,Public,Trained spotters confirmed coastal flood in Colorado; emergency services responded.
700082,150020,Hurricane (Typhoon),KENTUCKY,21,2023,April,09-APR-23 23:44:42,10-APR-23 01:24:42,BROWARD,OUN,0,0,0,0,23.71K,0.00K,51,EG,,27.2375,-118.4958,27.333,-118.3711,Newspaper,"A hurricane (typhoon) was reported in Kentucky, causing damage to homes and infrastructure."
700083,150020,Hurricane (Typhoon),LOUISIANA,22,2024,September,15-SEP-24 09:25:23,15-SEP-24 12:42:23,MONROE,DMX,0,0,0,0,2.57K,0.00K,76,MS,,33.4395,-91.0586,33.3246,-90.9959,Public,Trained spotters confirmed hurricane (typhoon) in Louisiana; emergency services responded.
700084,150021,Excessive Heat,LOUISIANA,22,2018,October,24-OCT-18 03:59:58,24-OCT-18 05:15:58,JEFFERSON,DDC,0,0,0,0,42.26K,0.00K,,,,48.3891,-77.3497,48.4345,-77.2926,Broadcast Media,"A excessive heat was reported in Louisiana, causing damage to homes and infrastructure."
700085,150021,Winter Storm,IOWA,19,2023,October,24-OCT-23 02:10:18,24-OCT-23 03:34:18,JEFFERSON,BMX,0,0,0,0,9.07K,0.00K,,,,28.438,-86.5314,28.2658,-86.435,Emergency Manager,Storm survey confirmed winter storm with widespread effects across the county.
700086,150021,Hurricane (Typhoon),MISSISSIPPI,28,2020,March,02-MAR-20 03:09:38,02-MAR-20 04:48:38,FRANKLIN,FFC,0,0,0,0,47.07K,0.00K,116,EG,,46.2002,-115.1319,46.302,-115.312,Department of Highways,Storm survey confirmed hurricane (typhoon) with widespread effects across the county.
700087,150021,Wildfire,OHIO,39,2021,June,10-JUN-21 20:28:20,10-JUN-21 21:42:20,DALLAS,OUN,0,0,0,0,17.26K,0.00K,,,,27.6614,-85.3416,27.6987,-85.3308,Emergency Manager,Storm survey confirmed wildfire with widespread effects across the county.
700088,150022,Funnel Cloud,ARKANSAS,5,2018,March,21-MAR-18 09:21:41,21-MAR-18 10:43:41,LINCOLN,LZK,0,0,0,0,38.21K,0.00K,,,,31.9467,-117.1609,31.9457,-117.1886,Emergency Manager,funnel cloud produced damaging conditions; multiple reports received.
700089,150022,Excessive Heat,WISCONSIN,55,2023,November,10-NOV-23 02:19:49,10-NOV-23 03:54:49,PALM BEACH,LZK,0,0,0,0,2.12K,0.00K,,,,25.4498,-71.4937,25.5946,-71.4634,NWS Storm Survey,Trained spotters confirmed excessive heat in Wisconsin; emergency services responded.
700090,150022,Flash Flood,MICHIGAN,26,2018,May,07-MAY-18 03:03:31,07-MAY-18 03:51:31,PALM BEACH,LZK,0,0,0,0,41.60K,0.00K,,,,47.0745,-118.9766,47.2123,-119.0793,Public,Storm survey confirmed flash flood with widespread effects across the county.
700091,150022,High Wind,TEXAS,48,2020,March,27-MAR-20 01:12:04,27-MAR-20 02:42:04,LINCOLN,FFC,1,0,0,0,651.56K,106.12K,84,MS,,42.4571,-77.3199,42.5831,-77.4254,Emergency Manager,Severe high wind affected the area; residents reported significant impacts.
700092,150023,Funnel Cloud,FLORIDA,12,2024,October,21-OCT-24 19:48:46,21-OCT-24 22:40:46,PALM BEACH,GLD,0,0,0,0,31.40K,0.00K,,,,36.1349,-91.8671,36.1667,-91.7946,Newspaper,Trained spotters confirmed funnel cloud in Florida; emergency services responded.
700093,150023,Flood,MISSISSIPPI,28,2018,July,02-JUL-18 02:39:40,02-JUL-18 04:37:40,TRAVIS,DMX,0,0,0,0,29.57K,0.00K,,,,33.4466,-119.7711,33.4313,-119.9561,Broadcast Media,"A flood was reported in Mississippi, causing damage to homes and infrastructure."
